track_name,artist_name,artist_genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
Life Goes On,Oliver Tree,['alternative hip hop'],89,0.7,0.49,0,-5.187,1,0.076,0.186,0.0,0.117,0.569,79.982,0eu4C55hL6x29mmeAjytzC,161803,4
Heat Waves,Glass Animals,"['gauze pop', 'indietronica', 'shiver pop']",90,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,6CDzDgIUqeDY5g8ujExx2f,238805,4
Wasted On You,Morgan Wallen,['contemporary country'],80,0.505,0.657,11,-5.24,0,0.0318,0.373,0.00107,0.126,0.252,196.0,3cBsEDNhFI9E82vPj3kvi3,178520,3
you broke me first,Tate McRae,"['alt z', 'dance pop', 'pop', 'post-teen pop']",88,0.667,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,124.148,45bE4HXI0AwGZXfZtMp8JR,169266,4
Monëy so big,Yeat,['pluggnb'],82,0.693,0.575,2,-7.633,1,0.0906,0.121,0.0,0.104,0.353,138.016,7BbaIYAdi3pg4MGl6PHwPv,160052,4
Mood (feat. iann dior),24kGoldn,"['cali rap', 'pop rap']",89,0.701,0.716,7,-3.671,0,0.0361,0.174,0.0,0.324,0.732,91.007,4jPy3l0RUwlUI9T5XHBW2m,140533,4
Kilby Girl,The Backseat Lovers,"['modern rock', 'slc indie']",82,0.329,0.444,1,-9.973,1,0.0417,0.0578,0.0352,0.113,0.225,162.279,1170VohRSx6GwE6QDCHPPH,282206,4
Heartbreak Anniversary,Giveon,"['pop', 'r&b']",86,0.449,0.465,0,-8.964,1,0.0791,0.524,1.02e-06,0.303,0.543,89.087,3FAJ6O0NOHQV8Mc5Ri6ENp,198371,3
Girls Want Girls (with Lil Baby),Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",85,0.767,0.438,7,-8.726,0,0.29,0.181,0.0,0.142,0.381,86.975,37Nqx7iavZpotJSDXZWbJ3,221980,4
RAPSTAR,Polo G,['chicago rap'],83,0.789,0.536,6,-6.862,1,0.242,0.41,0.0,0.129,0.437,81.039,43PGPuHIlVOc04jrZVh9L6,165926,4
